style,name,category,price,size_scale,A,B,C,D,E,F
210166,SOFT IRIS,SW,198.0,XS-XL,S,L,M,L,S,S
214073,INTERTWINE,SK,298.0,00-16,10,2,12,6/0,4,2/14
205086,GRECO,JK,458.0,00-16,2,8,4,6,10,2
210677,missing
210167,GRAVEL,SW,248.0,XS-XL,XS,M,M,L,S,XS
209099,GRAPHITE,PT,218.0,00-16,2,8/16,10,4,6,8/16
202068,TOBY,VT,368.0,XS-XL,S,L,M,M,S,L
210165,LOGAN,SW,238.0,XS-XL,S,L,L,S,XS,L
210162,GRAPEVINE,SW,238.0,XS-XL,M,M,L,S,M,S
212050,DIFFUSION,BL,268.0,00-16,4,6,12,2,4,6
209261,SERRANO,PT,238.0,00-16,4,8/*00,6/14,2,10,2
215045,LAYLA,DR,348.0,00-16,4/16,8,2/16,6,6,4
215007,VIOLA,DR,328.0,00-16,12,2,10,6,4,4
405102,BLUSHING,JK,528.0,00-16,2,4,6,8,6,4
412088,SKYLARK,BL,268.0,00-16,4,2,6,10,8,2
409113,TARTAN,PT,248.0,00-16,6,4,6,8,8,6
402076,PARACHUTE,VT,298.0,XS-XL,M,XS,S,XS,L,M
410090,ASTRID,SW,218.0,XS-XL,M,XS,S,S,L,M
412201,STAR,BL,268.0,00-16,8/*00,2,4,6,10,2
415205,COZY,DR,328.0,XS-XL,M,L,S,M,S,L
410258,FAWN,SW,298.0,XS-XL,M,XS,S,L,M,S
410259,AURA,SW,228.0,XS-XL,M,XS,S,L,M,S
410080,ACORN,SW,228.0,XS-XL,L,M,S,XS,L,S
409114,LINEA,PT,238.0,00-16,6,2,4,8/*00,8/16,6
405077,SPARROW,JK,358.0,00-16,4,2,10,8,2,4
412096,OPHIDIAN,BL,268.0,00-16,10,4,8/16,2,8/16,4
409119,HICKORY,PT,238.0,00-16,4,2,8,6/0,12,8
410093,DAYBREAK,SW,228.0,XS-XL,M,S,XS,XS,L,XS
412104,BARCODE,BL,278.0,00-16,2,8/*00,10,4,6,4
414129,OTTOMAN,SK,198.0,00-16,8,12,2/16,4,10/0,6
410107,FIORE,SW,258.0,XS-XL,L,S,XS,M,S,L
412111,ROSEWOOD,BL,228.0,00-16,6,4,2,8,10,10
409125,BLUEJAY,PT,228.0,00-16,6/*00,2,10,4,2,8/*00
417123,MEDUSA,SC,128.0,ONE,ONE,ONE,ONE,ONE,ONE,ONE
405034,SPECTER,JK,398.0,XS-XL,L,S,L,S,M,S
412035,GRAPH,BL,278.0,00-16,10,4,2,6,8,2
410039,CELESTIAL,SW,218.0,XS-XL,XS,L,M,S,XS,M
409036,ORION,PT,198.0,00-16,6,10,6,8/16,8,4
410037,NINJA,SW,268.0,XS-XL,S,L,M,XS,XS,M
410038,MILLENNIUM,SW,248.0,XS-XL,S,L,M,XS,XS,M
415110,STRATUM,DR,298.0,XS-XL,S,M,L,L,M,S
415054,STARLING,DR,568.0,00-16,4,6,8,8,4,2
405040,NOCTURNE,JK,458.0,00-16,8,4,2,4,6,8
412041,NOVA,BL,238.0,00-16,10,4,4,2,2,8/*00
410171,ENVELOP,SW,238.0,XS-XL,XS,XS,S,M,L,M
414042,ORBIT,SK,238.0,XS-XL,L,M,S,M,S,L
405043,EQUINOX,JK,358.0,00-16,6/16,6/14,4,10,8,2
412044,SERAPHIM,BL,268.0,00-16,10,10,4,6,2,6
410046,CLOAK,SW,238.0,XS-XL,L,S,M,XS,M,L
410047,CLOAK,SW,198.0,XS-XL,L,S,M,XS,M,L
405048,GUNMETAL,JK,378.0,00-16,8,12,4/14,2,12,6/16
412049,TRELLIS,BL,268.0,00-16,8,2,4,10,8,12
410045,GALAXY,SW,228.0,XS-XL,M,S,XS,M,XS,M
409048,GUNMETAL,PT,218.0,00-16,8/16,10,6,6,2,4
410050,POLARIS,SW,378.0,XS-XL,XS,M,XS,L,XS,S
412051,ELIXIR,BL,368.0,00-16,4,8,2,4,2,10
409052,GRANITE,PT,248.0,00-16,6,6,2,10,10,2
417053,TWILIGHT,SC,148.0,ONE,ONE,ONE,ONE,ONE,ONE,ONE
205121,WINDY,JK,398.0,00-16,10,8,6,4,,
412178,OASIS,BL,248.0,00-16,,,,,,
409151,URBAN,PT,228.0,00-16,,,,,,
412144,TRANQUIL,BL,248.0,00-16,,,,,,
412153,PLUMAGE,BL,268.0,00-16,,,,,,
210125,MULTI,SW,238.0,XS-XL,,,,,,
209250,DEXTER,PT,198.0,00-16,,,,,,
410371,YUBA,SW,258.0,XS-XL,,,,,,
410175,FLECKS,SW,228.0,XS-XL,,,,,,
409176,EQUESTRIAN,PT,238.0,00-16,,,,,,
212199,ACCENT,BL,398.0,00-16,,,,,,
212200,LEGACY,BL,268.0,00-16,,,,,,
209200,LEGACY,PT,228.0,00-16,,,,,,
205197,KNIGHT,JK,378.0,00-16,,,,,,
215227,SHADE,DR,348.0,00-16,,,,,,
212238,KREMLIN,BL,298.0,00-16,,,,,,
214252,ICONIC,SK,248.0,00-16,,,,,,
210082,OSLO,SW,198.0,XS-XL,,,,,,
209128,VANGUARD,PT,228.0,00-16,,,,,,
215193,BALTIC,DR,298.0,00-16,,,,,,
219270,SILO,NC,115.0,XS-XL,XS,L,S,M,S,M
219274,NERO,NC,95.0,XS-XL,XS,S,**,M,S,L
204574,ZOOM,CT,100.0,XS-XL,,,,,,
204555,SUL,CT,115.0,XS-XL,,,,,,
219272,SUGARCUBE,NC,115.0,XS-XL,M,L,**,XS,L,S
219275,WHITESOX,NC,95.0,XS-XL,M,L,S,**,**,**
204575,ORZO,CT,100.0,XS-XL,,,,,,
204506,CASPIAN,CT,118.0,XS-XL,,,,,,
219271,RAINYDAY,NC,115.0,XS-XL,,,,,,
204577,LANA,CT,100.0,XS-XL,,,,,,
218082,missing
218072,ORE,UG,45.0,XS-XL,L,M,S,**,M,L
209297,SEDUCTIVE,PT,175.0,0-16,,,,,,
209000,missing
218071,BLANC,UG,45.0,XS-XL,L,S,M,**,**,**
209298,WAYFARER,PT,165.0,0-16,4,10,8/16,6,8,4
209751,ESSENCE,PT,178.0,00-16,,,,,,
218080,missing
218070,NUDE,UG,45.0,XS-XL,M,L,**,M,S,S
209299,STARLET,PT,175.0,0-16,,,,,,
219276,CORVUS,NC,75.0,XS-XL,M,XS,S,**,**,**
219278,PEGASUS,NC,75.0,XS-XL,XS,L,**,M,S,L
219287,DEPTH,NC,60.0,XS-XL,M,S,**,XS,L,S
219291,PEPPER,NC,75.0,XS-XL,XS,L,**,XS,S,M
219292,MOON,NC,75.0,XS-XL,S,S,S,**,**,**
219280,LEAD,NC,75.0,XS-XL,XL,S,**,M,L,S
219288,DOVE,NC,60.0,XS-XL,M,L,**,S,M,L
219285,ABYSS,NC,65.0,XS-XL,S,M,M,**,L,S
219286,ANGEL,NC,65.0,XS-XL,S,L,**,M,**,**
219283,INDUSTRIAL,NC,65.0,XS-XL,L,L,M,**,S,S
210679,missing
210677,missing
210533,missing
210121,ESSEX,SW,188.0,XS-XL,XS,S,M,L,XS,S
210157,WAVERLY,SW,188.0,XS-XL,L,XS,S,M,L,XS
210151,DARTMOUTH,SW,188.0,XS-XL,M,L,XS,S,M,L
